18222,Thorny Vine
18223,Serrated Petal
18224,Lasher Root
18225,Worn Running Shoes
18226,A Sealed Pact
18227,Nubless Pacifier
18228,Autographed Picture of Foror & Tigule
18229,Nat Pagle's Guide to Extreme Anglin'
18230,Broken I.W.I.N. Button
18231,Sleeveless T-Shirt
18232,Field Repair Bot 74A
18233,Tear Stained Handkerchief
18234,Document from Boomstick Imports
18236,Gordok Chew Toy
18237,Mastiff Jawbone
18238,Shadowskin Gloves
18239,Pattern: Shadowskin Gloves
18240,Ogre Tannin
18241,Black War Steed Bridle
18242,Reins of the Black War Tiger
18243,Black Battlestrider
18244,Black War Ram
18245,Horn of the Black War Wolf
18246,Whistle of the Black War Raptor
18247,Black War Kodo
18248,Red Skeletal Warhorse
18249,Crescent Key
18250,Gordok Shackle Key
18251,Core Armor Kit
18252,Pattern: Core Armor Kit
18253,Major Rejuvenation Potion
18254,Runn Tum Tuber Surprise
18255,Runn Tum Tuber
18256,Imbued Vial
18257,Recipe: Major Rejuvenation Potion
18258,Gordok Ogre Suit
18259,Formula: Enchant Weapon - Spell Power
18260,Formula: Enchant Weapon - Healing Power
18261,Book of Incantations
18262,Elemental Sharpening Stone
18263,Flarecore Wraps
18264,Plans: Elemental Sharpening Stone
18265,Pattern: Flarecore Wraps
18266,Gordok Courtyard Key
18267,Recipe: Runn Tum Tuber Surprise
18268,Gordok Inner Door Key
18269,Gordok Green Grog
18282,Core Marksman Rifle
18283,Biznicks 247x128 Accurascope
18284,Kreeg's Stout Beatdown
18285,Crystallized Mana Shard
18286,Condensed Mana Fragment
18287,Evermurky
18288,Molasses Firewater
18289,Barbed Thorn Necklace
18290,Schematic: Biznicks 247x128 Accurascope
18291,Schematic: Force Reactive Disk
18292,Schematic: Core Marksman Rifle
18294,Elixir of Greater Water Breathing
18295,Phasing Boots
18296,Marksman Bands
18297,Thornling Seed
18298,Unbridled Leggings
18299,Hydrospawn Essence
18301,Lethtendris's Wand
18302,Band of Vigor
18305,Breakwater Legguards
18306,Gloves of Shadowy Mist
18307,Riptide Shoes
18308,Clever Hat
18309,Gloves of Restoration
18310,Fiendish Machete
18311,Quel'dorai Channeling Rod
18312,Energized Chestplate
18313,Helm of Awareness
18314,Ring of Demonic Guile
18315,Ring of Demonic Potency
18317,Tempest Talisman
18318,Merciful Greaves
18319,Fervent Helm
18321,Energetic Rod
18322,Waterspout Boots
18323,Satyr's Bow
18324,Waveslicer
18325,Felhide Cap
18326,Razor Gauntlets
18327,Whipvine Cord
18328,Shadewood Cloak
18329,Arcanum of Rapidity
18330,Arcanum of Focus
18331,Arcanum of Protection
18332,Libram of Rapidity
18333,Libram of Focus
18334,Libram of Protection
18335,Pristine Black Diamond
18336,Gauntlet of Gordok Might
18337,Orphic Bracers
18338,Wand of Arcane Potency
18339,Eidolon Cloak
18340,Eidolon Talisman
18343,Petrified Band
18344,Stonebark Gauntlets
18345,Murmuring Ring
18346,Threadbare Trousers
18347,Well Balanced Axe
18348,Quel'Serrar
18349,Gauntlets of Accuracy
18350,Amplifying Cloak
18351,Magically Sealed Bracers
18352,Petrified Bark Shield
18353,Stoneflower Staff
18354,Pimgib's Collar
18356,Garona: A Study on Stealth and Treachery
18357,Codex of Defense
18358,The Arcanist's Cookbook
18359,The Light and How to Swing It
18360,Harnessing Shadows
18361,The Greatest Race of Hunters
18362,Holy Bologna: What the Light Won't Tell You
18363,Frost Shock and You
18364,The Emerald Dream
18365,A Thoroughly Read Copy of Nat Pagle's Extreme' Anglin.
18366,Gordok's Handguards
18367,Gordok's Gauntlets
18368,Gordok's Gloves
18369,Gordok's Handwraps
18370,Vigilance Charm
18371,Mindtap Talisman
18372,Blade of the New Moon
18373,Chestplate of Tranquility
18374,Flamescarred Shoulders
18375,Bracers of the Eclipse
18376,Timeworn Mace
18377,Quickdraw Gloves
18378,Silvermoon Leggings
18379,Odious Greaves
18380,Eldritch Reinforced Legplates
18381,Evil Eye Pendant
18382,Fluctuating Cloak
18383,Force Imbued Gauntlets
18384,Bile-etched Spaulders
18385,Robe of Everlasting Night
18386,Padre's Trousers
18387,Brightspark Gloves
18388,Stoneshatter
18389,Cloak of the Cosmos
18390,Tanglemoss Leggings
18391,Eyestalk Cord
18392,Distracting Dagger
18393,Warpwood Binding
18394,Demon Howl Wristguards
18395,Emerald Flame Ring
18396,Mind Carver
18397,Elder Magus Pendant
18398,Tidal Loop
18399,Ocean's Breeze
18400,Ring of Living Stone
18401,Foror's Compendium of Dragon Slaying
18402,Glowing Crystal Ring
18403,Dragonslayer's Signet
18404,Onyxia Tooth Pendant
18405,Belt of the Archmage
18406,Onyxia Blood Talisman
18407,Felcloth Gloves
18408,Inferno Gloves
18409,Mooncloth Gloves
18410,Sprinter's Sword
18411,Spry Boots
18412,Core Fragment
18413,Cloak of Warding
18414,Pattern: Belt of the Archmage
18415,Pattern: Felcloth Gloves
18416,Pattern: Inferno Gloves
18417,Pattern: Mooncloth Gloves
18418,Pattern: Cloak of Warding
18420,Bonecrusher
18421,Backwood Helm
18422,Head of Onyxia
18423,Head of Onyxia
18424,Sedge Boots
18425,Kreeg's Mug
18426,Lethtendris's Web
18427,Sergeant's Cloak
18428,Senior Sergeant's Insignia
18429,First Sergeant's Plate Bracers
18430,First Sergeant's Plate Bracers
18432,First Sergeant's Mail Wristguards
18434,First Sergeant's Dragonhide Armguards
18435,First Sergeant's Leather Armguards
18436,First Sergeant's Dragonhide Armguards
18437,First Sergeant's Silk Cuffs
18440,Sergeant's Cape
18441,Sergeant's Cape
18442,Master Sergeant's Insignia
18443,Master Sergeant's Insignia
18444,Master Sergeant's Insignia
18445,Sergeant Major's Plate Wristguards
18447,Sergeant Major's Plate Wristguards
18448,Sergeant Major's Chain Armguards
18449,Sergeant Major's Chain Armguards
18450,Robe of Combustion
18451,Hyena Hide Belt
18452,Sergeant Major's Leather Armsplints
18453,Sergeant Major's Leather Armsplints
18454,Sergeant Major's Dragonhide Armsplints
18455,Sergeant Major's Dragonhide Armsplints
18456,Sergeant Major's Silk Cuffs
18457,Sergeant Major's Silk Cuffs
18458,Modest Armguards
18459,Gallant's Wristguards
